"Body, body.n.01","Mind, mind.n.01","Emotion, emotion.n.01","Identity, identity.n.01","Language, language.n.01","Community, community.n.01, community.n.02","Familial, familial.a.01, familial.s.02","Spirituality, spirituality.n.02","Values, values.n.01, value.n.06","Culture, culture.n.03, culture.n.02, acculturation.n.02, culture.n.06, cultural.a.01, cultural.s.02, cultural.a.03","Arts, humanistic_discipline.n.01","Fantasy, fantasy.n.01, fantasy.n.02","Mass media, mass medium.n.01","Technology, technology.n.01, engineering.n.02","Environmental, environmental.a.02","Politics, Politics.n.01, Politics.n.04, Politics.n.05","Power, power.n.04, power.n.05","Economy, economy.n.01","Inequality, inequality.n.01","Violence, violence.n.01","War, war.n.01, war.n.02","History, history.n.01, history.n.03, history.n.04, history.n.05","Urbanization, urbanization.n.01, urbanization.n.02","Geopolitics, geopolitics.n.01, geopolitical.a.01","Land, land.n.01, land.n.03, land.n.05, land.n.09, domain.n.02, country.n.02, kingdom.n.01, estate.n.02, nation.n.02, state.n.04","Colonization, colonization.n.01","Activism, activism.n.01","Design, design.n.01, design.v.03","Materiality, materiality.n.02","Immaterial, incorporeal.a.01, immaterial.a.03, immateriality.n.02, metaphysical.s.02, metaphysical.s.03","Physics, physics.n.01, physics.n.02","Time, time.n.05","Space, space.n.02, space.n.03"
"Sexuality, sexuality.n.01","Psyche, psyche.n.01","Love, love.n.01","Personal identity, personal identity.n.01","Translation, translation.n.01, translation.n.03","Friendship, Friendship.n.01","Home, home.n.01, dwelling.n.01, home.n.07, family.n.01","Religion, religion.n.01, religion.n.02","Moral, moral.a.01","Museum, museum.n.01","Cinema, cinema.n.02","Surreal, dreamlike.s.01, phantasmagoric.s.01",Found image.vw.01,"Digital, digital.a.03","Ecology, Ecology.n.01","Minority, minority.n.01",Soft power.vw.01,"Capitalism, capitalism.n.01","Class struggle, class struggle.n.01","Fear, fear.n.01","Weapon, weapon.n.01","Monument, monument.n.01, monument.n.02","Urban, urban.a.01, urban.a.02","Diaspora, diaspora.n.03","Place, place.n.01, place.n.02","Colonialism, colonialism.n.01","Dissidence, dissidence.n.01","Bauhaus, bauhaus.n.01","Texture, texture.n.01, texture.n.04, texture.n.05","Ethereal, aeriform.s.02, ethereal.s.04","Motion, movement.n.03, motion.n.04","Duration, duration.n.01, duration.n.02, duration.n.03","Universe, universe.n.01"
"Disability, disability.n.01","Psychology, psychology.n.01","Feeling, feeling.n.01","Individuality, individuality.n.02","Communication, communication.n.01","School, school.n.01","Mother, mother.n.01","Deity, deity.n.01","Ethics, ethical_motive.n.01, ethics.n.02, ethic.n.01, ethic.n.02","Education, education.n.01, education.n.02, education.n.03","Movie, movie.n.01","Utopia, utopia.n.02, utopia.n.04","Media, medium.n.01, medium.n.10","Science, science.n.01","Pollution, pollution.n.01","Government, Government.n.01, Government.n.03",Hard power.vw.01,"Liberalism, liberalism.n.01, liberalism.n.02","Oppression, oppression.n.01","Terrorism, terrorism.n.01","Militarization, militarization.n.01","Heritage, heritage.n.01, heritage.n.02","City, city.n.01","Border, Border.n.01","Geology, geology.n.01",Decoloniality.vw.01,"Resistance, resistance.n.01, resistance.n.07, resistance.n.11","Form, form.n.03, form.n.04, form.n.10","Surface, surface.n.01","Intangible, intangible.a.01, intangible.a.02, intangible.s.03, intangible.s.04","Speed, speed.n.01","Temporal, temporal.a.02","Stars, star.n.01, star.n.03"
"Accessibility, accessibility.n.01","Self-conscious, Self-conscious.s.01","Happiness, happiness.n.01, happiness.n.02","Portrait, portrait.n.02","Semiotics, semiotics.n.01","Education, education.n.01","Father, father.n.01","Prayer, prayer.n.01","Justice, justice.n.01","Appropriation, appropriation.n.03","Dance, dance.n.01","Science Fiction, science fiction.n.01","Representation, representation.n.01, representation.n.02","Robot, robot.n.01","Natural resource, Natural resource.n.01","Civil right, civil right.n.01","Leader, leader.n.01","Consumerism, consumerism.n.01","Discrimination, discrimination.n.01","Hatred, hatred.n.01","Military, military.n.01, military.a.02","Ritual, ritual.n.01, ritual.n.02, ritual.a.01, ritual.a.02","Gentrification, gentrification.n.01","Frontier, frontier.n.02","Landscape, landscape.n.01, landscape.n.02, landscape.n.03","Imperialism, imperialism.n.01, imperialism.n.02, imperialism.n.03","Protest, protest.n.01, protest.n.02, protest.n.03, protest.v.02","Style, style.n.03","Object, object.n.01","Ephemeral, ephemeral.n.01, ephemeral.s.01","Acceleration, acceleration.n.03","Memory, memory.n.01, memory.n.02","Planet, planet.n.01, planet.n.03"
"Imprisonment, imprisonment.n.02","Subconscious, subconscious.n.01","Humor, humor.n.01, humor.n.02","Race, race.n.03","Epistemology, epistemology.n.01","Childhood, childhood.n.01","Adolescence, adolescence.n.01, adolescence.n.02","Afterlife, afterlife.n.01","Fairness, fairness.n.01, fairness.n.02","Folklore, Folklore.n.01","Music, music.n.01","Fiction, fiction.n.01, fiction.n.02","Magazine, magazine.n.01, magazine.n.02, magazine.n.03","Machine, machine.n.01","Extinction, extinction.n.02","Dictatorship, dictatorship.n.01","Control, control.n.01, dominance.n.02","Trade, trade.n.01","Marginalization, marginalization.n.01","Abuse, abuse.n.01, abuse.v.01","Conflict, conflict.n.01, conflict.n.03","Tradition, tradition.n.02","Homeless, homeless.n.01, homeless.n.02, dispossessed.s.01","Immigration, immigration.n.01","Domestic, domestic.a.02, domestic.a.03","Hegemony, hegemony.n.01","March, march.n.02, march.n.04, march.v.01, demonstrate.v.04","Typography, typography.n.01, typography.n.02","Matter, matter.n.03","Light, light.n.01, light.n.04, light.n.05","Velocity, speed.n.01","Contemplation, contemplation.n.01, contemplation.n.02","Cosmos, universe.n.01"
"Maternity, maternity.n.02","Intellect, intellect.n.01","Sense of humor, sense of humor.n.01","Gender, gender.n.02","Structuralism, structuralism.n.01","Family, family.n.01, family.n.02, family.n.04, family.n.05","Suburbia, suburb.n.01","Karma, karma.n.01","Law, law.n.01, law.n.03","Anthropology, anthropology.n.01","Poetry, poetry.n.01, poetry.n.02","Speculation, speculation.n.04","Newspaper, newspaper.n.01, newspaper.n.02, newspaper.n.03","Communication, communication.n.01","Animal, Animal.n.01","Democracy, democracy.n.01, democracy.n.02","Rebellion, rebellion.n.01, rebellion.n.02","Globalization, globalization.n.01","Xenophobia, xenophobia.n.01","Brutality, brutality.n.01","Torture, torture.n.05","Archive, archive.n.01","Ghetto, ghetto.n.02, ghetto.n.03","Exile, exile.n.02, exile.n.03","Rural, rural.a.01, rural.a.02","Dehumanize, dehumanize.v.01","Philanthropy, Philanthropy.n.01","Calligraphy, calligraphy.n.01","Theatricality, theatricality.n.01","Dark, dark.n.01","Inertia, inertia.n.02","Endurance, endurance.n.01","Infinity, eternity.n.01"
"Youth, youth.n.03","Ego, ego.n.02","Affect, affect.n.01","Indigenous, autochthonal.s.01","Cognitive, cognitive.a.01","Empathy, empathy.n.01","Domestic, domestic.a.02, domestic.a.03","Hell, hell.n.03","Kindness, kindness.n.01, forgivingness.n.01, kindness.n.03","Food, food.n.01","Literature, Literature.n.01, Literature.n.02, Literature.n.03","Narrative, narrative.n.01","Television, television.n.01, television.n.02","Internet, internet.n.01","Climate, climate.n.01","Populism, populism.n.01","Authority, authority.n.01, authority.n.02","Commodity, commodity.n.01","Misogyny, misogyny.n.01","Domestic violence, domestic violence.n.01","Prisoner of war, prisoner_of_war.n.01","Archaeology, archaeology.n.01, archeology.n.01","Development, development.n.06","Geography, geography.n.01","Territory, territory.n.01, territory.n.03","Settler, settler.n.01","Riot, riot.n.01, rioting.n.01, rioting.v.01","Graphic, graphic.a.03, graphic.a.04","Scale, scale.n.01, scale.n.02","Absence, absence.n.01","Momentum, momentum.n.01, momentum.n.02","Future, future.n.01","Alien, extraterrestrial_being.n.01"
"Pain, pain.n.01","Dreamlike, dreamlike.s.01","Depression, depression.n.01","Feminism, feminism.n.02","Linguistics, Linguistics.n.01","Solidarity, Solidarity.n.01","Habitual, accustomed.s.02","Heaven, heaven.n.02 ","Virtue, virtue.n.01, merit.n.01","Ritual, ritual.n.01, ritual.n.02","Art, art.n.01, art.n.02","Dystopia, dystopia.n.01, dystopia.n.02",Social Media.vw.01,"Data, data.n.01","Climate change, climate change.n.01","Justice, Justice.n.02",,"Labor, labor.n.01, labor.n.02","Homophobia, homophobia.n.01","Trauma, trauma.n.01, trauma.n.02","Incarceration, incarceration.n.01","Reenactment, reenactment.n.01","Neighborhood, vicinity.n.01, neighborhood.n.02, ","Cartography, cartography.n.01","Private property, personal_property.n.01","Peoples, peoples.n.01","Advocacy, advocacy.n.01","Diagram, diagram.n.01","Physicality, physicality.n.01",,"Gravity, gravity.n.01","Past, past.n.01, past.n.02, past.n.03, past.a.01","Outer Space, outer_space.n.01"
"Health, health.n.01","Subjectivity, subjectivity.n.01",,"Homosexuality, homosexuality.n.01","Dyslexia, dyslexia.n.01","Outreach, Outreach.n.01","Genetics, genetics.n.01","Myth, myth.n.01","Freedom, freedom.n.01","Syncretism, syncretism.n.01","Theater, theater.n.01, dramaturgy.n.01","Apocalyptic, apocalyptic.s.01, apocalyptic.a.02","Radio, radio.n.01, radio.n.03","Artificial Intelligence, Artificial Intelligence.n.01, AI.n.02","Endangered species, endangered species.n.01","Corruption, corruption.n.01, corruption.n.06",,"Money, money.n.01",Transphobia.vw.01,"Fight, battle.n.01, fight.n.02, contend.v.06, fight.v.02","Coup d'etat, coup_d'etat.n.01",,,"Migration, migration.n.01, migration.n.02",,"Aboriginal, aborigine.n.02, aboriginal.a.01, aboriginal.s.03","Freedom of speech, freedom_of_speech.n.01","Aesthetic, aesthetic.n.01","Presence, presence.n.01, presence.n.02",,"Relativity, relativity.n.01","Timeless, dateless.s.04","Black hole, black_hole.n.01"
"Sensory, sensory.a.02","Idea, idea.n.01, idea.n.02",,"Queerness, queerness.n.02",,"Kinship, kinship.n.01, kinship.n.02","Hereditary, familial.s.02","Ghost, ghost.n.01, ghost.n.03","Loyalty, loyalty.n.01","Modernism, modernism.n.01","Filmmaking, filming.n.01, moviemaking.n.01, film.n.02","Imagination, imagination.n.01","Podcast, podcast.v.01","Automation, automation.n.01","Disaster, disaster.n.03","Law, law.n.01, law.n.02",,"Pharmaceutical, pharmaceutical.n.01, pharmaceutical.a.01, pharmaceutical.a.02","Prejudice, bias.n.01, prejudice.v.01","Assault, assault.n.01, assault.n.02, rape.n.03, assail.v.01, rape.v.01",,,,"Refugee, refugee.n.01","Ownership, possession.n.01","Native, native.n.01, native.a.03",,,"Repetition, repetition.n.01, repetition.n.02",,"Quantum Mechanics, quantum.n.02, quantum_mechanics.n.01","Everyday, everyday.s.03, everyday.s.01","Galaxy, galaxy.n.03"
"Phenomenology, phenomenology.n.01","Memory, memory.n.01, memory.n.02",,"Nationalism, nationalism.n.01",,"Social, sociable.n.01, social.a.01, social.a.02, social.s.04, social.s.05, social.s.06","Domesticity, domesticity.n.01, domesticity.n.02","Soul, soul.n.01","Honesty, honesty.n.01","Highbrow, highbrow.n.01","Architecture, Architecture.n.01, Architecture.n.02, Architecture.n.03","Cyborg, cyborg.n.01","Celebrity, celebrity.n.01","Virtual reality, virtual reality.n.01","Catastrophe, catastrophe.n.01, catastrophe.n.03","Censorship, censorship.n.01, censorship.n.02",,"Industry, industry.n.01, industry.n.02","Exploitation, exploitation.n.01, exploitation.n.02","PTSD, posttraumatic_stress_disorder.n.01",,,,,,"Indigenous, autochthonal.s.01",,,"Serial, consecutive.s.02, serial.a.02, serial.a.03",,"Electricity, electricity.n.01",,
"Experiential, experiential.a.01","Conceptual, conceptual.s.01",,,,"Intimacy, familiarity.n.03, closeness.n.01","Siblings, sibling.n.01",,,"Lowbrow, lowbrow.s.01","Performing arts, performing_arts.n.01",,"Hollywood, hollywood.n.01, hollywood.n.02, hollywood.n.03","Electronics, electronic.a.01, electronic_device.n.01","Nature, nature.n.03","Communism, communism.n.01, communism.n.02",,"Exchange, exchange.n.04","Poverty, poverty.n.01",,,,,,,"Genocide, genocide.n.01",,,"Concretism, concretism.n.01",,"Magnetism, magnetism.n.01",,
"Perception, perception.n.01","Knowledge, Knowledge.n.01",,,,,,,,"Criticism, criticism.n.02, criticism.n.03","Ceramics, ceramic.n.01, ceramics.n.01",,"Entertainment, Entertainment.n.01","Computer, computer.n.01","Agriculture, agriculture.n.02","Surveillance, surveillance.n.01",,"Market, market.n.01","Racism, racism.n.02",,,,,,,,,,"Concrete, concrete.a.01",,"Optics, optics.n.01",,
"Movement, Movement.n.01","Existentialism, existentialism.n.01",,,,,,,,"Culinary, culinary.a.01","Sculpture, sculpture.n.01, sculpture.n.02",,"Video games, computer_game.n.01","Software, software.n.01","Sustainable, sustainable.a.01","Nation, state.n.04, nation.n.02",,"Advertising, Advertising.n.01, Advertising.n.02","Subjugation, subjugation.n.01",,,,,,,,,,"Geometry, Geometry.n.01",,"Weight, weight.n.01",,
"Death, death.n.01","Meditation, meditation.n.02",,,,,,,,Popular culture.vw.01,"Photography, photography.n.01, photography.n.02, photography.n.03",,"Meme, meme.vw.01","Application, application.n.04",,"Extremism, extremism.n.01",,"Value, value.n.03",,,,,,,,,,,"Abstraction, Abstraction.n.04",,"Particle, particle.n.02",,
"Life, life.n.02, animation.n.01, life.n.05, life.n.10","Thought, idea.n.01, thinking.n.01, thought.n.03, think.v.02, think.v.03,think.v.05, think.v.08, think.v.09, think.v.11, think.v.10",,,,,,,,"Slang, slang.n.01, slang.n.02","Painting, painting.n.01, painting.n.02, painting.v.01",,,,,"Socialism, socialism.n.01",,"Product, product.n.01",,,,,,,,,,,,,,,
"Age, age.n.01, age.v.01, senesce.v.01","Dream, dream.n.01, dream.n.02, dream.v.01, dream.n.02",,,,,,,,"Hip-hop, hip-hop.n.01, rap.n.05","Drawing, drawing.n.01, drawing.n.02, drawing.n.03",,,,,"Patriotism, patriotism.n.01",,"Marketing, marketing.n.02",,,,,,,,,,,,,,,
,,,,,,,,,,"Textiles, fabric.n.01",,,,,,,"Supermarket, supermarket.n.01",,,,,,,,,,,,,,,
,,,,,,,,,,"Performance, performance.n.01",,,,,,,"Socialism, socialism.n.02",,,,,,,,,,,,,,,
,,,,,,,,,,"Fashion. fashion.n.03, fashion.n.04",,,,,,,"neoliberalism, neoliberalism.n.01",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,"Tourism, tourism.n.01",,,,,,,,,,,,,,,