metric,human_assessment_type,human_clusters,machine_clusters,hits,artist_name,title,permalink
wup,tags,"History,Urbanization,Power","Time,Power,Arts",1,Du Zhenjun,The Tower of Babel: Independence of the country,https://kadist.org/work/the-tower-of-babel-independence-of-the-country/
wup,tags,"War,Urbanization,Fantasy","Fantasy,Arts,Land",1,Jiang Pengyi,Unregistered City series #1 #2 #7,https://kadist.org/work/unregistered-city-series-1-2-7/
wup,tags,"Space,Materiality,Time","Arts,Activism,Geopolitics",0,Eleanor Antin,100 Boots,https://kadist.org/work/100-boots/
wup,tags,"History,Physics,Fantasy","Materiality,Emotion,Geopolitics",0,Mathilde Rosier,Far from Honolulu,https://kadist.org/work/far-from-honolulu/
wup,tags,"Culture,Familial,Fantasy","Land,Time,Space",0,Brenna Youngblood,Red Door,https://kadist.org/work/red-door/
wup,tags,"Violence,Fantasy,Body","Spirituality,Body,Identity",1,Dominique Zinkpè,Cosmos animiste,https://kadist.org/work/cosmos-animiste/
wup,tags,"Familial,Community,Time",Immaterial,0,Hans Peter Feldmann,Teapot with shadow,https://kadist.org/work/teapot-with-shadow/
wup,tags,"Materiality,Design,Fantasy","Arts,Materiality,Land",1,Walead Beshty,"Black Curl (CMY/Five Magnet: Irvine, California, March 25, 2010, Fujicolor Cyrstal Archive Super Type C, EM No 165-021, 05910)",https://kadist.org/work/black-curl-cmyfive-magnet-irvine-california-march-25-2010-fujicolor-cyrstal-archive-super-type-c-em-no-165-021-05910/
wup,tags,"Body,Culture,Community","Mass media,Culture,Technology",1,Miri Segal,"BRB (""be right back"")",https://kadist.org/work/brb-be-right-back/
wup,tags,"Environmental,Physics,Fantasy","Geopolitics,Body,Environmental",1,Diana Thater,Perpetual Motion Two,https://kadist.org/work/perpetual-motion-two/
wup,tags,"History,Land,Fantasy","War,Language,Technology",0,Charles Avery,"Untitled (Waiters dancing with Itinerants, Onomatopoeia)",https://kadist.org/work/untitled-waiters-dancing-with-itinerants-onomatopoeia/
wup,tags,"Culture,Technology,Economy","Economy,Technology,Arts",2,Daniel Keller,Soft Staycation (Gaze Track Edit),https://kadist.org/work/soft-staycation-gaze-track-edit/
wup,tags,"Culture,Familial,Arts","Time,Community,Body",0,Michal Chelbin,Strangely familiar: Angelina with her father,https://kadist.org/work/strangely-familiar-angelina-with-her-father/
wup,tags,"Culture,Familial,Community","Mind,Culture,Inequality",1,Guy Ben-Ner,Wild Boy,https://kadist.org/work/wild-boy/
wup,tags,"History,Culture,Mass media","Arts,Mass media,History",2,Pierre Leguillon,"Diane Arbus: A printed retrospective, 1960-1971",https://kadist.org/work/diane-arbus-a-printed-retrospective-1960-1971/
wup,tags,"Body,Materiality,Time","Materiality,Body,Space",2,George Pfau,Decomposing Eternally,https://kadist.org/work/decomposing-eternally/
wup,tags,"Land,Urbanization,Arts","Land,Urbanization,Arts",3,James Weeks,Man with Blue Tie,https://kadist.org/work/man-with-blue-tie/
wup,tags,"Culture,Familial,Economy","Arts,Economy,History",1,Kan Xuan,Island,https://kadist.org/work/island/
wup,tags,"Culture,Time,Physics","Time,Body",1,Pratchaya Phinthong,If I dig a very deep hole,https://kadist.org/work/if-i-dig-a-very-deep-hole/
wup,tags,"Culture,Materiality,Fantasy","Arts,Materiality,Familial",1,Jonathan Monk,Untitled (Rolled up),https://kadist.org/work/untitled-rolled-up/
wup,tags,"Fantasy,Language,Materiality","Arts,Language,Materiality",2,Pablo Accinelli,Onde quer voce esteja (Wherever you may be),https://kadist.org/work/onde-quer-voce-esteja-wherever-you-may-be/
wup,tags,"Violence,Arts,Body","Violence,Activism,Body",2,Jennifer Locke,Choke,https://kadist.org/work/choke/
wup,tags,"Environmental,Technology,Land","Arts,Environmental,Land",2,Robert Zhao Renhui,Expedition #46,https://kadist.org/work/expedition-46-from-the-series-the-glacier-study-group-2/
wup,tags,"Environmental,Power,Mind","Familial,Materiality,Immaterial",0,Fernanda Gomes,Untitled,https://kadist.org/work/untitled-14/
wup,description,"History,Politics,Arts","Politics,Economy,History",2,Milena Bonilla,Stone Deaf,https://kadist.org/work/stone-deaf/
wup,description,"Environmental,Economy,Values","Arts,Economy,Time",1,Jennifer Bornstein,Collectors’ Favorites,https://kadist.org/work/collectors-favorites/
wup,description,"Colonization,Urbanization,Arts","Arts,Urbanization,History",2,Carlos Garaicoa,From the series the Old and the New (XI),https://kadist.org/work/from-the-series-the-old-and-the-new-xi/
wup,description,"Technology,Politics,Community","Land,History,Politics",1,Humberto Diaz,3600 besos por hora,https://kadist.org/work/3600-besos-por-hora/
wup,description,"War,Environmental,Geopolitics","Arts,Economy,Environmental",1,"Jennifer Allora, Guillermo Calzadilla",The Nature of Conflict,https://kadist.org/work/the-nature-of-conflict/
wup,description,"Mass media,Language,Emotion","Mind,Culture,Values",0,Anthony Discenza,A Rising Tide Lifts All Boats,https://kadist.org/work/a-rising-tide-lifts-all-boats/
wup,description,"War,Materiality,Language","Arts,Violence,Activism",0,John Baldessari,One Must,https://kadist.org/work/one-must/
wup,description,"Body,Colonization,Economy","Arts,Land,Technology",0,Meschac Gaba,Hubert Maga (perruque MAVA-musée d'art de la vie active),https://kadist.org/work/untitled-29/
wup,description,"Body,Land,Geopolitics","Culture,Arts,Values",0,Francis Alÿs,Pink Man Walking on Boats with Woman Following,https://kadist.org/work/pink-man-walking-on-boats-with-woman-following/
wup,description,"Culture,Materiality,Arts","Land,Language,Space",0,Andrew Grassie,After the Archive Collections Room,https://kadist.org/work/after-the-archive/
wup,description,"Culture,Politics,Arts","Arts,Design,Technology",1,Ryan Gander,You see with no lights,https://kadist.org/work/you-see-with-no-lights/
wup,description,"Materiality,Language,Arts","Mind,Culture,Values",0,Joe Scanlan,Spring Line,https://kadist.org/work/spring-line/
wup,description,"Identity,Technology,Materiality","Emotion,Mind,Community",0,Judy Chicago,"Domes, #1",https://kadist.org/work/domes-1/
wup,description,"Land,Colonization,Language","Physics,Materiality,Time",0,Felipe Arturo,Primero Estaba el Mar,https://kadist.org/work/primero-estaba-el-mar/
wup,description,"History,Materiality,Arts","Culture,Arts,Environmental",1,Laurent Montaron,What remains is future,https://kadist.org/work/what-remains-is-future/
wup,description,"Politics,Land,Fantasy","Economy,Land,Environmental",1,Marie Voignier,Tourisme international,https://kadist.org/work/untitled-27/
wup,description,"Power,Emotion,Fantasy","Identity,Values,Activism",0,Rodney Graham,Good Hand Bad Hand,https://kadist.org/work/good-hand-bad-hand/
wup,description,"History,Politics,Language","Arts,History,Culture",1,Nicoline van Harskamp,Character Witness,https://kadist.org/work/character-witness/
wup,description,"Language,Emotion,Arts","Mind,Materiality,Familial",0,Julius Koller,Anti-Happening,https://kadist.org/work/anti-happening/
wup,description,"Space,Power,Geopolitics","Space,Economy,Body",1,Carey Young,Report from the legal subcommittee,https://kadist.org/work/report-from-the-legal-subcommittee/
wup,description,"Politics,Economy,Emotion","Emotion,Culture,Violence",1,Luis Garciga,Destinos Posibles (Possible Destinations),https://kadist.org/work/destinos-posibles-possible-destinations/
wup,description,"Politics,Materiality,Fantasy","Economy,Values,Politics",1,Gimhongsok,Bunny’s Sofa,https://kadist.org/work/bunnys-sofa/
wup,description,"Body,Land,Urbanization","Culture,Arts,Values",0,Francis Alÿs,Boat with Legs,https://kadist.org/work/boat-with-legs/
wup,description,"Inequality,Colonization,Emotion","Physics,Immaterial",0,Nicolás Consuegra,Nadie sabe de la sed con que otro bebe (No one knows the thirst with which another drinks),https://kadist.org/work/nadie-sabe-con-la-sed-que-otro-bebe/
wup,description,"Arts,Land,Geopolitics","Emotion,Violence,Fantasy",0,Miguel Calderon,Tropical Vulture,https://kadist.org/work/tropical-vulture/
